nconst	primaryName	birthYear	deathYear	primaryProfession	knownForTitles	img_url_asset
nm0000019	Federico Fellini	1920	1993	writer,director,actor	tt0071129,tt0047528,tt0050783,tt0056801	https://image.tmdb.org/t/p/{width_variable}/jH2VnHAuI0UbTWsnrjMPro0fC9j.jpg
nm0000030	Audrey Hepburn	1929	1993	actress,soundtrack	tt0046250,tt0054698,tt0056923,tt0058385	https://image.tmdb.org/t/p/{width_variable}/nbkNJ8dr6j5vSZ3M6SKwp0F7Q1P.jpg
nm0000035	James Horner	1953	2015	music_department,soundtrack,composer	tt0177971,tt0120338,tt0499549,tt0120746	https://image.tmdb.org/t/p/{width_variable}/g2C3Fb4fHCU2gnqUcwTQCv5EZc4.jpg
nm0000047	Sophia Loren	1934	\N	actress,soundtrack	tt0058335,tt0054749,tt0076085,tt0060121	https://image.tmdb.org/t/p/{width_variable}/94Kglg5dsAgOKG76230FFN7m6W3.jpg
nm0000053	Robert Mitchum	1917	1997	actor,soundtrack,producer	tt0050356,tt0048424,tt0056197,tt0039689	https://image.tmdb.org/t/p/{width_variable}/l0It7MePd9cwgqHR3JQAYD6YMg9.jpg
nm0000085	Henner Hofmann	1950	\N	cinematographer,producer,camera_department	tt0113482,tt0097738,tt0097523,tt1825758	\N
nm0000095	Woody Allen	1935	\N	writer,director,actor	tt0075686,tt0070707,tt0118954,tt0079522	https://image.tmdb.org/t/p/{width_variable}/wcPQgZLDibuej1RwNTy1R2U2ZJw.jpg
nm0000099	Patricia Arquette	1968	\N	actress,producer,director	tt1065073,tt0412175,tt0108399,tt0145531	https://image.tmdb.org/t/p/{width_variable}/jYF68PFZORelRFQ8ivVLxR3jXLv.jpg
nm0000123	George Clooney	1961	\N	actor,producer,director	tt1193138,tt0433383,tt0465538,tt1124035	https://image.tmdb.org/t/p/{width_variable}/4s3wI0bqOP7K3hhcmKqV6m3GYiQ.jpg
nm0000147	Colin Firth	1960	\N	actor,producer,soundtrack	tt0243155,tt1315981,tt2802144,tt1504320	https://image.tmdb.org/t/p/{width_variable}/4VBeYEUQbfhnivdkqInM36u5fda.jpg
nm0000149	Jodie Foster	1962	\N	actress,director,producer	tt0476964,tt0102926,tt0075314,tt0094608	https://image.tmdb.org/t/p/{width_variable}/resiaRfWvj4N84TgJi9DPOafCpq.jpg
nm0000154	Mel Gibson	1956	\N	actor,producer,director	tt0117438,tt0112573,tt0104714,tt0118883	https://image.tmdb.org/t/p/{width_variable}/jnqHMaOslt8cef2atSmOpGRvNla.jpg
nm0000167	Elizabeth Hurley	1965	\N	actress,producer	tt0118655,tt0145660,tt0105104,tt0230030	https://image.tmdb.org/t/p/{width_variable}/m18Mx9Fj9XKA9CTDGBDUhluSuGt.jpg
nm0000176	Nastassja Kinski	1961	\N	actress,producer,soundtrack	tt0087884,tt0080009,tt0111400,tt0083722	https://image.tmdb.org/t/p/{width_variable}/svYrIUXH59Dd9wp9HBpS1ASvRAu.jpg
nm0000177	Kevin Kline	1947	\N	actor,soundtrack,director	tt0120891,tt0113117,tt0106673,tt0095159	https://image.tmdb.org/t/p/{width_variable}/nbxtPbVNA6CjCXMOf5oqipiZFsW.jpg
nm0000198	Gary Oldman	1958	\N	actor,producer,soundtrack	tt4555426,tt0103874,tt1340800,tt0468569	https://image.tmdb.org/t/p/{width_variable}/hHP0769L7YrApkMKCOyb9cwgxBW.jpg
nm0000199	Al Pacino	1940	\N	actor,director,soundtrack	tt0099422,tt0072890,tt0070666,tt0068646	https://image.tmdb.org/t/p/{width_variable}/fMDFeVf0pjopTJbyRSLFwNDm8Wr.jpg
nm0000214	Mia Sara	1967	\N	actress,soundtrack	tt0091042,tt0312098,tt0111438,tt0089469	https://image.tmdb.org/t/p/{width_variable}/rKCSuOn8w5ci1p7bbZJtKBTuWei.jpg
nm0000221	Charlie Sheen	1965	\N	actor,producer,soundtrack	tt0108333,tt0094291,tt0369179,tt0107144	https://image.tmdb.org/t/p/{width_variable}/qgqHqsmiZVW3suEVONpofJNhOJk.jpg
nm0000248	Edward D. Wood Jr.	1924	1978	writer,director,actor	tt0067479,tt0052077,tt0045826,tt0047127	https://image.tmdb.org/t/p/{width_variable}/mT2dlFO5i2gKpRJzB9gwuRAq21t.jpg
nm0000256	Jenny Agutter	1952	\N	actress,soundtrack	tt0074812,tt0067959,tt0082010,tt0848228	https://image.tmdb.org/t/p/{width_variable}/y33ICsDBElCEauT8siQlj2JmdjA.jpg
nm0000259	Ginger Lynn	1962	\N	actress,director,writer	tt0087562,tt0134898,tt0210365,tt0395584	https://image.tmdb.org/t/p/{width_variable}/20Bvb1dhxVIuxNKLPmxOBp68bpV.jpg
nm0000275	Rosanna Arquette	1959	\N	actress,producer,director	tt0088680,tt0089017,tt0110912,tt0190138	https://image.tmdb.org/t/p/{width_variable}/qfS5G5VHW2gz2sYGDhIYRBoy3vY.jpg
nm0000293	Sean Bean	1959	\N	actor,producer,animation_department	tt0167261,tt1181791,tt0944947,tt0120737	https://image.tmdb.org/t/p/{width_variable}/kTjiABk3TJ3yI0Cto5RsvyT6V3o.jpg
nm0000296	Robert Beltran	1953	\N	actor,soundtrack	tt0113987,tt0087799,tt0101516,tt0112178	https://image.tmdb.org/t/p/{width_variable}/weqZyarkZ1A6Plf04Db9gLFKlFZ.jpg
nm0000334	Chow Yun-Fat	1955	\N	actor,writer,soundtrack	tt0120008,tt0473444,tt1098327,tt0190332	https://image.tmdb.org/t/p/{width_variable}/uDPYSiZrW7OZ79qgcgkWefALlXY.jpg
nm0000347	Tim Curry	1946	\N	actor,soundtrack,producer	tt0088930,tt0073629,tt0112715,tt0108333	https://image.tmdb.org/t/p/{width_variable}/8ZsGg3N3OZgxshqLOtA2kl5ckOP.jpg
nm0000355	Anthony Daniels	1946	\N	actor,producer,writer	tt0076759,tt2527336,tt2488496,tt0080684	https://image.tmdb.org/t/p/{width_variable}/c876ZM5ObwYgXksrRWNNrL9KeZg.jpg
nm0000372	Amanda Donohoe	1962	\N	actress,producer	tt0119528,tt0090466,tt0110428,tt0095488	https://image.tmdb.org/t/p/{width_variable}/f7s1GhnJMfGJEReVtMRQC6Tju5V.jpg
nm0000374	Brad Dourif	1950	\N	actor	tt0095647,tt0099528,tt0167261,tt0073486	https://image.tmdb.org/t/p/{width_variable}/z2LYR7Ickql7g5hnWJSIAWMPD4o.jpg
nm0000375	Robert Downey Jr.	1965	\N	actor,producer,soundtrack	tt1300854,tt4154796,tt0371746,tt0988045	https://image.tmdb.org/t/p/{width_variable}/im9SAqJPZKEbVZGmjXuLI4O7RvM.jpg
nm0000382	Atom Egoyan	1960	\N	director,writer,producer	tt0273435,tt0120255,tt1352824,tt2326612	https://image.tmdb.org/t/p/{width_variable}/tcC1xvYTnoVPwzVVpPkHJ2oPLb4.jpg
nm0000386	Roland Emmerich	1955	\N	writer,producer,director	tt1628841,tt0120685,tt0319262,tt0116629	https://image.tmdb.org/t/p/{width_variable}/mN8x74uv9yQ7dJl8nh2q26mkY8v.jpg
nm0000388	R. Lee Ermey	1944	2018	actor,miscellaneous,producer	tt0093058,tt0324216,tt0114369,tt0095647	https://image.tmdb.org/t/p/{width_variable}/aXFJlEGHlQT7bwxkKwq6Sx7PeEp.jpg
nm0000410	Stephen Fry	1957	\N	actor,writer,producer	tt0280707,tt0371724,tt0120514,tt0434409	https://image.tmdb.org/t/p/{width_variable}/xeheTDmmQDFYaKxEHmyxbjrte4G.jpg
nm0000430	Steve Guttenberg	1958	\N	actor,producer,soundtrack	tt0087928,tt0098966,tt0091949,tt0094137	https://image.tmdb.org/t/p/{width_variable}/bdOuq7U6QqRT5VcuXT08tAIsnfs.jpg
nm0000440	Nina Hartley	1959	\N	actress,director,producer	tt0118749,tt1282224,tt0189990,tt0167019	https://image.tmdb.org/t/p/{width_variable}/grzgW8C2aacxGCenhqLQvvBdsKL.jpg
nm0000452	Lauren Holly	1963	\N	actress,producer,soundtrack	tt0109686,tt0106770,tt0103512,tt0207201	https://image.tmdb.org/t/p/{width_variable}/bWQsB6ueNNkygxCiIxyKznQAiOK.jpg
nm0000453	Ian Holm	1931	2020	actor,soundtrack,animation_department	tt0382932,tt0088846,tt0167260,tt0120737	https://image.tmdb.org/t/p/{width_variable}/tz81JSiPdcLM7b624W1BcYdxd4D.jpg
nm0000454	Dennis Hopper	1936	2010	actor,director,writer	tt0090756,tt0114898,tt0064276,tt0111257	https://image.tmdb.org/t/p/{width_variable}/3Hg8mkb1RxqNhDOofzHdr0PoufH.jpg
nm0000458	William Hurt	1950	2022	actor,producer	tt0080360,tt0092699,tt0120738,tt0399146	https://image.tmdb.org/t/p/{width_variable}/j3mjmuHLBW4XQSw53C8Sh0Lh3ZQ.jpg
nm0000468	Lynn-Holly Johnson	1958	\N	actress,director	tt0082398,tt0077716,tt0088395,tt0081738	https://image.tmdb.org/t/p/{width_variable}/otNAP9RUhGwzJ9vlQ8i4KWAc2Sc.jpg
nm0000469	James Earl Jones	1931	\N	actor,soundtrack	tt3748528,tt0097351,tt6105098,tt0099810	https://image.tmdb.org/t/p/{width_variable}/oqMPIsXrl9SZkRfIKN08eFROmH6.jpg
nm0000473	Diane Keaton	1946	\N	actress,producer,director	tt0075686,tt0082979,tt0337741,tt0356680	https://image.tmdb.org/t/p/{width_variable}/siSWRRFN9uO6iCN7y9OrHU5IaJ.jpg
nm0000475	Patsy Kensit	1968	\N	actress,soundtrack,composer	tt0079268,tt0090585,tt0097733,tt0071577	https://image.tmdb.org/t/p/{width_variable}/r60KQk3xOmMIhGmJqCeHQq6RX68.jpg
nm0000480	Elias Koteas	1961	\N	actor,producer	tt0822854,tt0120863,tt0114194,tt0100758	https://image.tmdb.org/t/p/{width_variable}/gQpHrmTP9ylOsw8O4xKiuZHC7oo.jpg
nm0000481	Alice Krige	1954	\N	actress,producer,writer	tt9086228,tt0117731,tt1981115,tt0105428	https://image.tmdb.org/t/p/{width_variable}/jHOknQMjkIqqrm5RjtMCnJfnGXl.jpg
nm0000491	John Leguizamo	1960	\N	actor,producer,writer	tt0120177,tt0162677,tt0203009,tt0117509	https://image.tmdb.org/t/p/{width_variable}/kwYCdxTlDh9zauUCg4mp2XTCQTw.jpg
nm0000516	Lee Majors	1939	\N	actor,music_department,producer	tt0058791,tt0071054,tt0081859,tt0096061	https://image.tmdb.org/t/p/{width_variable}/ylu6EnPkQM2Q9xzBzjUCPrfeh1M.jpg
nm0000518	John Malkovich	1953	\N	actor,producer,writer	tt0120601,tt0120744,tt0107206,tt0094947	https://image.tmdb.org/t/p/{width_variable}/5coH0AExljEnbseCXKL4CDOVQj8.jpg
nm0000532	Malcolm McDowell	1943	\N	actor,producer,soundtrack	tt0066921,tt0080025,tt0111280,tt0373883	https://image.tmdb.org/t/p/{width_variable}/hL8ep4Hqj6izX7IlzE7Bbcfq62w.jpg
nm0000564	Peter O'Toole	1932	2013	actor,soundtrack,producer	tt0081568,tt0063227,tt0056172,tt0332452	https://image.tmdb.org/t/p/{width_variable}/7HzyrEuRVPpjmyJTeiU5oILd3Cn.jpg
nm0000574	Jason Patric	1966	\N	actor,producer	tt0120179,tt0093437,tt0480255,tt0117665	https://image.tmdb.org/t/p/{width_variable}/ym2R4xqfRl9GBQVDZ7OoDgAuKg7.jpg
nm0000578	Anthony Perkins	1932	1992	actor,soundtrack,director	tt0086154,tt0078869,tt0091799,tt0054215	https://image.tmdb.org/t/p/{width_variable}/4s2Y00gZMgStigPje8oSy6oXq2m.jpg
nm0000585	Robert Picardo	1953	\N	actor,soundtrack,writer	tt0094433,tt0112178,tt0093260,tt0117731	https://image.tmdb.org/t/p/{width_variable}/9TOY0mhWRMlU5Ur8QHMoDecWs2n.jpg
nm0000592	Pete Postlethwaite	1946	2011	actor,producer	tt0840361,tt0119567,tt0114814,tt1375666	https://image.tmdb.org/t/p/{width_variable}/2gpa75Ci4y2OKmOc8WXnaeGgyKF.jpg
nm0000596	Jonathan Pryce	1947	\N	actor,soundtrack,producer	tt0104348,tt8404614,tt3750872,tt0120347	https://image.tmdb.org/t/p/{width_variable}/zwSv5uXzPTtmitFe39UdqnVwmdL.jpg
nm0000608	Burt Reynolds	1936	2018	actor,director,producer	tt0118749,tt0068473,tt0076729,tt0117765	https://image.tmdb.org/t/p/{width_variable}/5FNuc4f1OR9EF9QcrcnFIr3zZQr.jpg
nm0000613	Joely Richardson	1965	\N	actress,producer,soundtrack	tt1881002,tt0119081,tt0187393,tt0361217	https://image.tmdb.org/t/p/{width_variable}/6OWUwieNiWcZNnu4h6gd8vyhxBV.jpg
nm0000616	Eric Roberts	1956	\N	actor,producer,soundtrack	tt0089941,tt0468569,tt1791528,tt1320253	https://image.tmdb.org/t/p/{width_variable}/NiWg1TaUcal7xn1ZQeyA2dLd5F.jpg
nm0000633	Tom Selleck	1945	\N	actor,producer,writer	tt0094137,tt1595859,tt0080240,tt0119360	https://image.tmdb.org/t/p/{width_variable}/uhrK7HBzIVPFTNgp08KHuihadMS.jpg
nm0000636	William Shakespeare	1564	1616	writer,soundtrack,miscellaneous	tt14297038,tt20711868,tt8632012,tt10095582	https://image.tmdb.org/t/p/{width_variable}/60ZqefTZIgfGtklgihIjXmi4ClH.jpg
nm0000641	Gary Sinise	1955	\N	actor,producer,director	tt0112384,tt0105046,tt0109830,tt0117438	https://image.tmdb.org/t/p/{width_variable}/ngYV91xYfCu0JNcSxJ4yQ7tzOna.jpg
nm0000642	Marina Sirtis	1955	\N	actress,producer,soundtrack	tt0111280,tt0120844,tt0375679,tt0117731	https://image.tmdb.org/t/p/{width_variable}/6bkiBoge0lJZHbDaunp4JhWPeFk.jpg
nm0000655	Eric Stoltz	1961	\N	actor,producer,director	tt0094006,tt0110912,tt0289879,tt0089560	https://image.tmdb.org/t/p/{width_variable}/sP5tI3NVHrhmle5qotVz9q2mWfR.jpg
nm0000666	Lili Taylor	1967	\N	actress,writer,soundtrack	tt3488298,tt1457767,tt0116594	https://image.tmdb.org/t/p/{width_variable}/if8rbaj1TXlzg0Oq4g0bpU3b5rh.jpg
nm0000667	David Thewlis	1963	\N	actor,soundtrack,writer	tt0466909,tt0107653,tt1201607,tt2980516	https://image.tmdb.org/t/p/{width_variable}/sNuYyT8ocLlQr3TdAW9CoKVbCU8.jpg
nm0000685	Jon Voight	1938	\N	actor,producer,writer	tt0064665,tt0068473,tt0118615,tt0089941	https://image.tmdb.org/t/p/{width_variable}/oxLsItDwLddXu8YYJCfkddYNejL.jpg
nm0000721	Victoria Abril	1959	\N	actress,soundtrack	tt0094822,tt0101026,tt0284491,tt0103030	https://image.tmdb.org/t/p/{width_variable}/eXI42Fp7MIGHxEzmAX20I94CZi6.jpg
nm0000728	Mario Adorf	1930	\N	actor,soundtrack,writer	tt0112154,tt0067315,tt0078875,tt0103432	https://image.tmdb.org/t/p/{width_variable}/dCusK8NWuHzrI3Abf8nDNfe3DfA.jpg
nm0000732	Danny Aiello	1933	2019	actor,producer,soundtrack	tt0093565,tt0097216,tt0102070,tt0110413	https://image.tmdb.org/t/p/{width_variable}/e7Q6hgWilShqGZ572ByWF9eshMm.jpg
nm0000746	Trini Alvarado	1967	\N	actress,soundtrack	tt0100691,tt0110367,tt0116365,tt11324406	https://image.tmdb.org/t/p/{width_variable}/uRAsuzmbC9xLbzsp5A8qwvax3jP.jpg
nm0000756	Loni Anderson	1945	\N	actress,soundtrack	tt0096787,tt0077097,tt0086379,tt0120770	https://image.tmdb.org/t/p/{width_variable}/2IRmMn4u8vKiPm1iDSMXR8Wse45.jpg
nm0000761	Bibi Andersson	1935	2019	actress,soundtrack	tt0050986,tt0060827,tt0837106,tt0050976	https://image.tmdb.org/t/p/{width_variable}/1oVFJtQSOv6mG8HjsReDy3aipt8.jpg
nm0000762	Anthony Andrews	1948	\N	actor,producer,soundtrack	tt0088322,tt0084637,tt0083390,tt1504320	https://image.tmdb.org/t/p/{width_variable}/kIZDuiguj7vQgc2md3XrZUBFAfO.jpg
nm0000773	Laura Antonelli	1941	2015	actress	tt0074686,tt0082883,tt0071844,tt0070358	https://image.tmdb.org/t/p/{width_variable}/6pwHBvKtro1jcJmXdotKB3ShUQZ.jpg
nm0000793	Alexis Arquette	1969	2016	actress,art_department,producer	tt0110912,tt0283003,tt0160862,tt0144120	https://image.tmdb.org/t/p/{width_variable}/jNRBwGKXOZFWLI2ceff1sMUdxcE.jpg
nm0000800	Armand Assante	1949	\N	actor,soundtrack,producer	tt0113492,tt0765429,tt0104802,tt0116441	https://image.tmdb.org/t/p/{width_variable}/9HbbWAJacTHguO2InDVHKGnaasm.jpg
nm0000803	Christopher Atkins	1961	\N	actor,writer,producer	tt0084504,tt0086011,tt0080453,tt0493406	https://image.tmdb.org/t/p/{width_variable}/jLuwUuLaPaLYHUJ8pqzNwnr2IyG.jpg
nm0000805	Claudine Auger	1941	2019	actress,soundtrack	tt1369743,tt0080718,tt0067656,tt0059800	https://image.tmdb.org/t/p/{width_variable}/1KAAUhgfVxdI5g2t0YFCG9ITrvi.jpg
nm0000807	Jane Austen	1775	1817	writer	tt13456318,tt0116191,tt0114388,tt0414387	https://image.tmdb.org/t/p/{width_variable}/iihzKkdZbM97cPo2L0eurQk9MQm.jpg
nm0000818	Shabana Azmi	1950	\N	actress,music_department	tt5286444,tt0083578,tt0116308,tt2792284	https://image.tmdb.org/t/p/{width_variable}/mfb6zCBhFpTN5ShQmnFd5n4QjUh.jpg
nm0000821	Amitabh Bachchan	1942	\N	actor,producer,writer	tt0213890,tt0337578,tt0375611,tt5571734	https://image.tmdb.org/t/p/{width_variable}/yAvq3EG5W5WaegZHB7gNdlM2KED.jpg
nm0000826	Jane Badler	1953	\N	actress,producer,soundtrack	tt4054004,tt0086822,tt0085106,tt4244730	https://image.tmdb.org/t/p/{width_variable}/1y3ULLRX3Ga4BqmxJBmWKbkN6m.jpg
nm0000869	Alan Bates	1934	2003	actor,soundtrack,producer	tt0280707,tt0265349,tt0164184,tt0066579	https://image.tmdb.org/t/p/{width_variable}/aqorhHCrgICHKP4nAJK9IB4xGGa.jpg
nm0000872	Patrick Bauchau	\N	\N	actor,writer,producer	tt0090264,tt0258000,tt0319969,tt0115320	https://image.tmdb.org/t/p/{width_variable}/kdrFAJJFdfQaYUETTHQw77gim9O.jpg
nm0000877	Lamberto Bava	1944	\N	director,assistant_director,producer	tt0088100,tt0101493,tt0090930,tt0089013	https://image.tmdb.org/t/p/{width_variable}/alCOCvgUarpfuFaf750r0r7adp7.jpg
nm0000901	Jean-Paul Belmondo	1933	2021	actor,producer,stunts	tt0053472,tt0055082,tt0059592,tt0061452	https://image.tmdb.org/t/p/{width_variable}/wTofz0bBIO7kKXATnZNNBF3Jxle.jpg
nm0000905	Roberto Benigni	1952	\N	actor,writer,director	tt0419198,tt0102164,tt0118799,tt0090967	https://image.tmdb.org/t/p/{width_variable}/noelOhwX1oaNSvU9NLKhPrHTFI3.jpg
nm0000947	Karen Black	1939	2013	actress,soundtrack,writer	tt0073440,tt0071577,tt0251736,tt0065724	https://image.tmdb.org/t/p/{width_variable}/2FUHvpCZ8A3we7yaEvIK8r06fCL.jpg
nm0000952	Hart Bochner	1956	\N	actor,director,writer	tt0095016,tt0088206,tt0078902,tt0106364	https://image.tmdb.org/t/p/{width_variable}/nfC2ByTNS3xoygwYVbUYsx2Zae6.jpg
nm0000959	Powers Boothe	1948	2017	actor,soundtrack	tt0114576,tt0108358,tt0401792,tt0848228	https://image.tmdb.org/t/p/{width_variable}/dOwVFE10FgpLXrKhPdEAplpESjR.jpg
nm0000972	Tinto Brass	1933	\N	actor,writer,director	tt0057942,tt0104014,tt0065161,tt0080491	https://image.tmdb.org/t/p/{width_variable}/adQ1j2FQ1FZ67hlZVhsUnALM4G4.jpg
nm0000978	Lloyd Bridges	1913	1998	actor,soundtrack,director	tt0080339,tt0083530,tt0102059,tt0107144	https://image.tmdb.org/t/p/{width_variable}/3dUJhLyaOl32mOU9HBpgTniLNJc.jpg
nm0000979	Wilford Brimley	1934	2020	actor,stunts	tt0119360,tt0087781,tt0084787,tt0106918	https://image.tmdb.org/t/p/{width_variable}/pOfcXSGKiHcdFIcnhBV3ibGUruW.jpg
nm0000980	Jim Broadbent	1949	\N	actor,writer,soundtrack	tt0203009,tt0217505,tt1007029,tt1431181	https://image.tmdb.org/t/p/{width_variable}/jTyvGwwR1NFpvgDhcmuWZCM241w.jpg
nm0000981	James Brolin	1940	\N	actor,producer,director	tt0078767,tt0181865,tt0070909,tt0077294	https://image.tmdb.org/t/p/{width_variable}/mdkmgcWySHNNQRJcPhtKqH9hCIE.jpg
nm0000999	Red Buttons	1919	2006	actor,soundtrack,writer	tt0069113,tt0050933,tt0056059,tt0076538	https://image.tmdb.org/t/p/{width_variable}/bZYvuKzOnF181Tz0wqT4sbPZLnc.jpg
nm0001000	Tom Byron	1961	\N	actor,director,producer	tt0097039,tt0178845,tt2059288,tt0151056	https://image.tmdb.org/t/p/{width_variable}/8AKqVx8JMJNy8zLR78zWaJB4jo0.jpg
nm0001003	Simon Callow	1949	\N	actor,writer,soundtrack	tt0109831,tt0138097,tt0293508,tt0091867	https://image.tmdb.org/t/p/{width_variable}/no6qlnMrWeUzSt1FjD2Vf9x992e.jpg
nm0001012	Claudia Cardinale	1938	\N	actress,soundtrack	tt0056801,tt0064116,tt0054225,tt0057413	https://image.tmdb.org/t/p/{width_variable}/eSNCcnxtBJf0AIAB4k7jpFJNwcD.jpg
nm0001016	David Carradine	1936	2009	actor,producer,soundtrack	tt0074235,tt0490086,tt0072856,tt0378194	https://image.tmdb.org/t/p/{width_variable}/u6C8DVrC9QgQEovlWLIBob8gvgZ.jpg
nm0001041	Maggie Cheung	1964	\N	actress,soundtrack	tt0117905,tt0118694,tt0101258,tt0299977	https://image.tmdb.org/t/p/{width_variable}/hXsXzhSmzqGKC6yGn8WHsgDujT7.jpg
nm0001048	Andrew Dice Clay	1957	\N	actor,producer,writer	tt1517451,tt0098987,tt2334873,tt1674771	https://image.tmdb.org/t/p/{width_variable}/kq6APbPUbx0Mzoh6mK7k8Xoiw5m.jpg
nm0001059	Robbie Coltrane	1950	2022	actor,soundtrack,writer	tt0105977,tt0241527,tt0143145,tt0295297	https://image.tmdb.org/t/p/{width_variable}/jOHs3xvlwRiiG2CLtso5zzmGCXg.jpg
nm0001075	Peter Coyote	1941	\N	actor,producer,miscellaneous	tt0104779,tt0281358,tt0083866,tt0120184	https://image.tmdb.org/t/p/{width_variable}/ld3xLYTcZWjAc0bE33DONT7n9o8.jpg
nm0001086	Alan Cumming	1965	\N	actor,producer,soundtrack	tt0362165,tt0113189,tt0254099,tt0290334	https://image.tmdb.org/t/p/{width_variable}/9ENvxomhVWXTi0S0I13agqRMBOd.jpg
nm0001088	Peter Cushing	1913	1994	actor,writer,art_department	tt0076759,tt0050280,tt0068713,tt0052905	https://image.tmdb.org/t/p/{width_variable}/if5g03wn6uvHx7F6FxXHLebKc0q.jpg
nm0001090	Joe D'Amato	1936	1999	director,cinematographer,camera_department	tt0074472,tt0068972,tt0089091,tt0085183	https://image.tmdb.org/t/p/{width_variable}/6cj3AKDSeANiZk2w9vFzcPWGlfF.jpg
nm0001095	Béatrice Dalle	1964	\N	actress,soundtrack	tt0102536,tt10272534,tt0090563,tt0856288	https://image.tmdb.org/t/p/{width_variable}/pkHDYnYnNepShunyInM5QQKwXWa.jpg
nm0001101	Ted Danson	1947	\N	actor,producer,soundtrack	tt0082089,tt0083399,tt0098966,tt4955642	https://image.tmdb.org/t/p/{width_variable}/2QUEYVhrKbOkRKeFEUnc5sJby6a.jpg
nm0001115	Ossie Davis	1917	2005	actor,writer,director	tt0097216,tt0109446,tt0281686,tt0107050	https://image.tmdb.org/t/p/{width_variable}/ubOu0TvauzO1gdPe7eVSJuCx8Rz.jpg
nm0001136	Bruce Dern	1936	\N	actor,producer,soundtrack	tt1821549,tt0096734,tt0071577,tt3460252	https://image.tmdb.org/t/p/{width_variable}/24aH1ahmFFImPiBA5N4NhemshH9.jpg
nm0001189	Gabriel Yared	1949	\N	composer,music_department,soundtrack	tt0116209,tt0134119,tt0159365,tt0120632	https://image.tmdb.org/t/p/{width_variable}/kqJzXNKsL5LJU1FZBjobHVSnnjp.jpg
nm0001200	Gary Farmer	1953	\N	actor,director,miscellaneous	tt0112817,tt0165798,tt0098112,tt0120321	https://image.tmdb.org/t/p/{width_variable}/jGzbxhmJUZBLk3MblowFm6iI1m2.jpg
nm0001201	Mia Farrow	1945	\N	actress,soundtrack	tt0063522,tt0087003,tt0089853,tt0097123	https://image.tmdb.org/t/p/{width_variable}/vwxfB8Xv2EZoC0BbyOcy7MkUkpx.jpg
nm0001226	James Foley	1953	\N	director,writer,producer	tt0090670,tt0098994,tt1856010,tt0104348	https://image.tmdb.org/t/p/{width_variable}/ujAhQvNNnBqa6ZP2C46DMdAp09w.jpg
nm0001233	Robert Forster	1941	2019	actor,producer,director	tt0166924,tt2302755,tt1033575,tt0119396	https://image.tmdb.org/t/p/{width_variable}/8OiwipCStS3HyfIm7h7qwEEqIaF.jpg
nm0001238	Jesús Franco	1930	2013	writer,director,actor	tt0092311,tt0067846,tt0072904,tt0086428	https://image.tmdb.org/t/p/{width_variable}/sVhaKFvmqD80EbWLTu7sGMbGDt0.jpg
nm0001245	Mira Furlan	1955	2021	actress	tt0105946,tt0120711,tt0091398,tt0121804	https://image.tmdb.org/t/p/{width_variable}/230eF35kgW0Jo2II1LmGPlRuw8a.jpg
nm0001263	Jason Gedrick	1965	\N	actor,director,writer	tt0101393,tt3502248,tt0773262,tt1578887	https://image.tmdb.org/t/p/{width_variable}/45Dea89CukCmdk88F7RQMgpAeYC.jpg
nm0001285	Elliott Gould	1938	\N	actor,soundtrack,producer	tt0496806,tt0070334,tt0240772,tt0066026	https://image.tmdb.org/t/p/{width_variable}/ismZMvs8QxRR33OAVp9AKr3TokP.jpg
nm0001317	Renny Harlin	1959	\N	producer,director,writer	tt0106582,tt0112760,tt0132245,tt1905040	https://image.tmdb.org/t/p/{width_variable}/IhXiDrZBrsLZpB5K5BmzUGkp4G.jpg
nm0001321	Richard Harris	1930	2002	actor,soundtrack,producer	tt0105695,tt0245844,tt0061439,tt0172495	https://image.tmdb.org/t/p/{width_variable}/oJIS8QUOCfLUhsfK7kROkLHVyJh.jpg
nm0001329	Nigel Hawthorne	1929	2001	actor,producer	tt0110428,tt0120772,tt0106697,tt0080306	https://image.tmdb.org/t/p/{width_variable}/v8bin2HUa9gayqxmCnlRlh0taxq.jpg
nm0001352	Terence Hill	1939	\N	actor,director,miscellaneous	tt0057091,tt0070215,tt0069697,tt0067355	https://image.tmdb.org/t/p/{width_variable}/erOGmmgjsyuAxNqxzYpKriDxZ6X.jpg
nm0001357	Paul Hogan	1939	\N	actor,writer,producer	tt0092493,tt0231402,tt0099018,tt0090555	https://image.tmdb.org/t/p/{width_variable}/1QQURn65Q2yeDCaGIaLktd6kUPx.jpg
nm0001376	Isabelle Huppert	1953	\N	actress,soundtrack,music_department	tt4120176,tt3716530,tt0254686,tt0283832	https://image.tmdb.org/t/p/{width_variable}/3YQwWkpNKQeV5NUmdCH76Ne1gDP.jpg
nm0001396	Mick Jagger	1943	\N	music_artist,soundtrack,composer	tt0066214,tt0104299,tt0434409,tt0375173	https://image.tmdb.org/t/p/{width_variable}/lnW255mXyX6K8agSNwhj8H06CoC.jpg
nm0001409	Tchéky Karyo	1953	\N	actor,soundtrack	tt0100263,tt0187393,tt0271027,tt0298814	https://image.tmdb.org/t/p/{width_variable}/jrtGiLYaALwDZgF39Hlgb8O1XZ1.jpg
nm0001421	George Kennedy	1925	2016	actor,miscellaneous,soundtrack	tt0061512,tt0065377,tt0072288,tt0102510	https://image.tmdb.org/t/p/{width_variable}/fIVmcPEcPmh0Rbx4mYf9aneCmDe.jpg
